NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
CARLA SILVA,2024-04-26 09:39:16,270.4,12.1,-26.103866,-39.035866
CARLA SILVA,2024-04-26 09:41:15,273.5,12.1,-26.103406,-39.04331
CARLA SILVA,2024-04-26 10:14:06,272.0,12.3,-26.095476,-39.167546
CARLA SILVA,2024-04-26 10:19:05,271.5,12.3,-26.09429,-39.186376
CARLA SILVA,2024-04-26 10:22:36,272.4,12.4,-26.093281,-39.199716
CARLA SILVA,2024-04-26 10:42:35,275.6,12.0,-26.089118,-39.275095
CARLA SILVA,2024-04-26 10:44:04,270.1,12.1,-26.088976,-39.280678
CARLA SILVA,2024-04-26 10:44:24,267.9,12.1,-26.088958,-39.281988
CARLA SILVA,2024-04-26 10:44:44,270.2,12.3,-26.088933,-39.283175
CARLA SILVA,2024-04-26 10:45:04,273.4,12.1,-26.0889,-39.284425
CARLA SILVA,2024-04-26 10:45:24,276.1,12.0,-26.088853,-39.28567
CARLA SILVA,2024-04-26 10:45:44,270.0,12.0,-26.08885,-39.286856
CARLA SILVA,2024-04-26 10:45:55,269.4,12.2,-26.088845,-39.287605
CARLA SILVA,2024-04-26 10:48:44,271.0,12.2,-26.088763,-39.29827
CARLA SILVA,2024-04-26 10:53:34,271.4,12.3,-26.088235,-39.316636
CARLA SILVA,2024-04-26 10:55:55,271.6,12.2,-26.088036,-39.325676
CARLA SILVA,2024-04-26 10:58:05,269.4,12.3,-26.087986,-39.333921
CARLA SILVA,2024-04-26 11:16:04,264.6,12.1,-26.089356,-39.402866
CARLA SILVA,2024-04-26 11:16:44,270.3,11.8,-26.089503,-39.405323
CARLA SILVA,2024-04-26 11:17:04,268.8,11.8,-26.089585,-39.406551
CARLA SILVA,2024-04-26 11:23:55,262.8,12.0,-26.091385,-39.431903
CARLA SILVA,2024-04-26 11:29:34,266.4,12.0,-26.092968,-39.452798
CARLA SILVA,2024-04-26 11:56:55,266.0,12.3,-26.098466,-39.555341
CARLA SILVA,2024-04-26 12:04:45,265.3,12.4,-26.100296,-39.585498
CARLA SILVA,2024-04-26 12:32:36,266.5,12.4,-26.106761,-39.692851
CARLA SILVA,2024-04-26 13:07:25,266.7,12.7,-26.106165,-39.828031
CARLA SILVA,2024-04-26 13:21:05,270.2,12.6,-26.106203,-39.881493
CARLA SILVA,2024-04-26 13:42:06,270.9,12.4,-26.106766,-39.963541
CARLA SILVA,2024-04-26 14:04:35,269.1,12.4,-26.106701,-40.05033
CARLA SILVA,2024-04-26 14:07:16,270.7,12.3,-26.106658,-40.060715
CARLA SILVA,2024-04-26 14:10:35,269.8,12.3,-26.106683,-40.073475
CARLA SILVA,2024-04-26 14:16:06,269.2,12.4,-26.10654,-40.094631
CARLA SILVA,2024-04-26 14:54:26,269.5,12.6,-26.106618,-40.243753
