NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
FABIO SANTOS,2023-11-25 05:55:12,114.9,12.0,-3.491448,-38.385915
FABIO SANTOS,2023-11-25 05:59:14,113.2,12.0,-3.497048,-38.373815
FABIO SANTOS,2023-11-25 06:03:53,114.5,11.9,-3.503515,-38.359748
FABIO SANTOS,2023-11-25 08:15:14,112.0,12.2,-3.678931,-37.962915
FABIO SANTOS,2023-11-25 09:11:42,109.2,12.0,-3.753031,-37.788615
FABIO SANTOS,2023-11-25 09:17:52,111.1,12.0,-3.761215,-37.769715
FABIO SANTOS,2023-11-25 09:43:44,117.5,12.0,-3.797798,-37.691498
FABIO SANTOS,2023-11-25 09:47:24,116.5,11.8,-3.803415,-37.680765
FABIO SANTOS,2023-11-25 09:55:53,114.7,11.8,-3.816481,-37.655765
FABIO SANTOS,2023-11-25 09:58:12,119.3,12.0,-3.820098,-37.648965
FABIO SANTOS,2023-11-25 10:01:04,118.0,12.0,-3.824465,-37.640681
FABIO SANTOS,2023-11-25 10:03:22,118.0,11.7,-3.828065,-37.633948
FABIO SANTOS,2023-11-25 10:15:23,116.9,11.9,-3.846648,-37.599398
FABIO SANTOS,2023-11-25 10:17:33,114.0,11.6,-3.849748,-37.593015
FABIO SANTOS,2023-11-25 10:20:42,116.7,11.8,-3.854181,-37.583698
FABIO SANTOS,2023-11-25 10:25:02,117.6,11.7,-3.860331,-37.570948
FABIO SANTOS,2023-11-25 10:58:13,113.5,11.8,-3.906798,-37.472981
FABIO SANTOS,2023-11-25 11:00:43,115.5,11.7,-3.910298,-37.465631
FABIO SANTOS,2023-11-25 11:28:13,118.5,11.7,-3.949348,-37.383981
FABIO SANTOS,2023-11-25 11:42:53,113.7,12.0,-3.970831,-37.340331
FABIO SANTOS,2023-11-25 12:37:13,113.3,12.2,-4.050665,-37.177198
FABIO SANTOS,2023-11-25 12:38:42,110.8,12.0,-4.052515,-37.172631
FABIO SANTOS,2023-11-25 12:39:13,110.8,11.9,-4.053148,-37.171031
FABIO SANTOS,2023-11-25 12:41:02,112.1,12.0,-4.055398,-37.165415
FABIO SANTOS,2023-11-25 14:04:04,114.8,11.8,-4.157131,-36.912631
FABIO SANTOS,2023-11-25 14:52:34,106.9,12.4,-4.224065,-36.765631
FABIO SANTOS,2023-11-25 14:57:23,114.6,12.1,-4.231115,-36.750915
FABIO SANTOS,2023-11-25 14:59:33,112.9,12.1,-4.234298,-36.744348
FABIO SANTOS,2023-11-25 15:28:14,115.8,12.1,-4.278131,-36.656565
FABIO SANTOS,2023-11-25 15:34:02,119.5,12.4,-4.287198,-36.639031
FABIO SANTOS,2023-11-25 15:36:51,116.6,12.0,-4.291598,-36.630548
FABIO SANTOS,2023-11-25 15:37:41,120.9,12.0,-4.292881,-36.628065
FABIO SANTOS,2023-11-25 15:37:51,122.0,12.1,-4.293131,-36.627565
FABIO SANTOS,2023-11-25 15:39:52,117.2,12.1,-4.296215,-36.621615
FABIO SANTOS,2023-11-25 15:48:32,118.1,12.1,-4.309865,-36.596115
FABIO SANTOS,2023-11-25 15:50:33,122.0,12.2,-4.313098,-36.590231
FABIO SANTOS,2023-11-25 15:57:13,121.7,11.8,-4.323948,-36.571048
FABIO SANTOS,2023-11-25 16:04:41,125.2,12.0,-4.337431,-36.550298
FABIO SANTOS,2023-11-25 16:07:13,123.5,11.8,-4.342115,-36.543298
FABIO SANTOS,2023-11-25 16:34:22,107.5,11.8,-4.380865,-36.462931
FABIO SANTOS,2023-11-25 16:34:23,107.5,11.8,-4.380865,-36.462931
FABIO SANTOS,2023-11-25 16:36:33,109.8,11.8,-4.383381,-36.456281
FABIO SANTOS,2023-11-25 16:36:43,112.2,11.9,-4.383581,-36.455781
FABIO SANTOS,2023-11-25 16:38:53,110.6,11.8,-4.386065,-36.449165
FABIO SANTOS,2023-11-25 16:39:02,110.3,11.5,-4.386265,-36.448665
FABIO SANTOS,2023-11-25 16:40:54,112.8,11.9,-4.388431,-36.442965
FABIO SANTOS,2023-11-25 16:41:43,106.5,11.8,-4.389381,-36.440465
FABIO SANTOS,2023-11-25 16:44:22,111.9,11.8,-4.392465,-36.432398
FABIO SANTOS,2023-11-25 17:11:42,110.3,11.8,-4.424665,-36.350048
