NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
MARCOS CAVALCANTI,2023-11-25 18:34:21,277.8,0.1,-23.124453,-44.400355
MARCOS CAVALCANTI,2023-11-25 20:52:20,239.0,0.1,-23.124796,-44.400433
MARCOS CAVALCANTI,2023-11-26 05:04:21,3.1,0.1,-23.127055,-44.396808
MARCOS CAVALCANTI,2023-11-26 12:46:20,118.3,0.1,-23.124226,-44.398555
MARCOS CAVALCANTI,2023-11-27 02:42:08,168.4,0.0,-23.125143,-44.397131
MARCOS CAVALCANTI,2023-11-27 04:18:06,195.5,0.0,-23.125911,-44.396658
MARCOS CAVALCANTI,2023-11-27 10:48:08,20.3,0.0,-23.128313,-44.39816
MARCOS CAVALCANTI,2023-11-27 12:39:07,181.5,0.2,-23.127753,-44.397368
MARCOS CAVALCANTI,2023-11-27 13:45:08,176.8,0.1,-23.126033,-44.396983
MARCOS CAVALCANTI,2023-11-27 17:06:08,266.0,0.2,-23.124295,-44.39839
MARCOS CAVALCANTI,2023-11-27 22:17:05,93.0,0.2,-23.124511,-44.399511
MARCOS CAVALCANTI,2023-11-27 23:24:57,65.6,13.3,-23.101271,-44.31488
MARCOS CAVALCANTI,2023-11-27 23:50:25,50.0,5.8,-23.076756,-44.24978
MARCOS CAVALCANTI,2023-11-27 23:57:46,47.2,3.6,-23.070275,-44.24197
MARCOS CAVALCANTI,2023-11-27 23:59:55,43.6,3.0,-23.068983,-44.2405
MARCOS CAVALCANTI,2023-11-28 00:04:35,52.8,2.4,-23.06678,-44.23766
MARCOS CAVALCANTI,2023-11-28 00:15:25,35.5,1.7,-23.064001,-44.232456
MARCOS CAVALCANTI,2023-11-28 00:26:56,63.4,0.8,-23.062583,-44.229823
MARCOS CAVALCANTI,2023-11-28 00:28:46,81.5,0.7,-23.062453,-44.229466
MARCOS CAVALCANTI,2023-11-28 00:28:56,87.1,0.7,-23.062451,-44.229441
MARCOS CAVALCANTI,2023-11-29 10:57:22,327.1,0.0,-23.061743,-44.227685
MARCOS CAVALCANTI,2023-11-29 11:04:11,7.4,0.0,-23.061725,-44.227681
MARCOS CAVALCANTI,2023-11-29 11:46:53,244.2,1.3,-23.059571,-44.226436
MARCOS CAVALCANTI,2023-11-29 12:37:42,195.3,0.0,-23.060273,-44.227415
MARCOS CAVALCANTI,2023-11-29 13:23:21,348.6,0.0,-23.06025,-44.22746
MARCOS CAVALCANTI,2023-11-29 13:28:12,336.3,0.0,-23.060248,-44.22742
MARCOS CAVALCANTI,2023-11-29 16:09:02,203.5,0.0,-23.06022,-44.227451
MARCOS CAVALCANTI,2023-11-29 16:18:41,256.4,0.1,-23.060255,-44.227456
MARCOS CAVALCANTI,2023-11-29 16:24:42,342.3,0.1,-23.060265,-44.227418
MARCOS CAVALCANTI,2023-11-29 16:39:01,347.8,0.0,-23.06018,-44.2274
MARCOS CAVALCANTI,2023-11-29 16:44:40,352.3,0.0,-23.060271,-44.22738
MARCOS CAVALCANTI,2023-11-29 16:47:43,352.3,0.0,-23.060203,-44.22747
MARCOS CAVALCANTI,2023-11-29 16:50:43,346.6,0.0,-23.060288,-44.22741
MARCOS CAVALCANTI,2023-11-29 17:20:31,338.5,0.0,-23.060271,-44.22742
MARCOS CAVALCANTI,2023-11-29 17:20:40,338.5,0.0,-23.060268,-44.227426
MARCOS CAVALCANTI,2023-11-29 17:23:51,212.7,0.0,-23.060248,-44.227445
MARCOS CAVALCANTI,2023-11-29 17:24:20,212.7,0.0,-23.06025,-44.227443
MARCOS CAVALCANTI,2023-11-29 17:24:22,212.7,0.0,-23.06025,-44.227443
MARCOS CAVALCANTI,2023-11-29 17:55:01,326.4,0.0,-23.06024,-44.227341
MARCOS CAVALCANTI,2023-11-29 18:08:22,327.7,0.0,-23.06024,-44.227463
MARCOS CAVALCANTI,2023-11-29 18:16:50,341.6,0.1,-23.060256,-44.227435
MARCOS CAVALCANTI,2023-11-29 18:17:50,338.1,0.0,-23.060271,-44.227405
MARCOS CAVALCANTI,2023-11-29 18:18:20,327.5,0.0,-23.06025,-44.22742
MARCOS CAVALCANTI,2023-11-29 18:20:40,304.0,0.0,-23.06029,-44.22743
MARCOS CAVALCANTI,2023-11-29 18:32:23,352.6,0.0,-23.06029,-44.227405
MARCOS CAVALCANTI,2023-11-29 18:41:22,339.5,0.0,-23.060293,-44.227411
MARCOS CAVALCANTI,2023-11-29 18:43:52,335.8,0.0,-23.06029,-44.227416
MARCOS CAVALCANTI,2023-11-29 19:15:03,333.9,0.0,-23.060288,-44.227413
MARCOS CAVALCANTI,2023-11-29 19:45:52,340.0,0.0,-23.060308,-44.227405
MARCOS CAVALCANTI,2023-11-29 19:55:13,345.5,0.0,-23.060293,-44.227403
