NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
RICARDO BARBOSA,2023-11-25 09:44:31,170.9,0.3,-8.391398,-34.923615
RICARDO BARBOSA,2023-11-25 10:02:32,187.6,0.4,-8.391481,-34.923598
RICARDO BARBOSA,2023-11-25 13:08:31,196.4,0.3,-8.391265,-34.923565
RICARDO BARBOSA,2023-11-25 15:47:32,255.4,0.2,-8.390981,-34.923448
RICARDO BARBOSA,2023-11-25 16:08:31,219.7,0.0,-8.390931,-34.923348
RICARDO BARBOSA,2023-11-25 16:41:31,289.4,0.2,-8.390931,-34.923348
RICARDO BARBOSA,2023-11-25 17:14:28,316.1,0.3,-8.390981,-34.923365
RICARDO BARBOSA,2023-11-25 17:47:30,59.2,0.2,-8.390915,-34.923348
RICARDO BARBOSA,2023-11-25 21:38:31,341.1,0.1,-8.391015,-34.923415
RICARDO BARBOSA,2023-11-25 22:08:32,84.3,0.2,-8.390898,-34.923348
RICARDO BARBOSA,2023-11-25 22:23:31,54.5,0.1,-8.390898,-34.923348
RICARDO BARBOSA,2023-11-26 00:29:32,321.3,0.2,-8.390731,-34.923231
RICARDO BARBOSA,2023-11-26 04:14:33,333.7,0.3,-8.390498,-34.923015
RICARDO BARBOSA,2023-11-26 04:17:32,64.6,0.2,-8.390465,-34.922998
RICARDO BARBOSA,2023-11-26 05:05:33,28.9,0.3,-8.390348,-34.922831
RICARDO BARBOSA,2023-11-26 05:23:31,166.0,0.1,-8.390331,-34.922815
RICARDO BARBOSA,2023-11-26 11:05:32,9.3,0.3,-8.390198,-34.922781
RICARDO BARBOSA,2023-11-26 15:05:31,263.7,0.1,-8.390098,-34.922515
RICARDO BARBOSA,2023-11-26 15:41:31,234.9,0.9,-8.390098,-34.922531
RICARDO BARBOSA,2023-11-26 16:17:31,56.7,0.4,-8.390148,-34.922631
RICARDO BARBOSA,2023-11-26 19:26:32,58.8,0.5,-8.390115,-34.922448
RICARDO BARBOSA,2023-11-26 21:29:32,217.6,0.2,-8.390165,-34.922665
RICARDO BARBOSA,2023-11-26 21:41:31,235.0,0.5,-8.390131,-34.922581
RICARDO BARBOSA,2023-11-27 03:56:28,113.4,0.4,-8.390165,-34.922765
RICARDO BARBOSA,2023-11-27 04:02:32,339.2,0.3,-8.390365,-34.923015
RICARDO BARBOSA,2023-11-27 04:05:31,271.3,0.2,-8.390398,-34.923031
RICARDO BARBOSA,2023-11-27 04:08:30,66.2,0.5,-8.390365,-34.922998
RICARDO BARBOSA,2023-11-27 04:08:32,66.2,0.5,-8.390365,-34.922998
RICARDO BARBOSA,2023-11-27 07:59:32,59.2,0.4,-8.390431,-34.922998
RICARDO BARBOSA,2023-11-27 09:05:32,250.3,0.4,-8.390315,-34.922931
RICARDO BARBOSA,2023-11-27 09:47:32,47.1,0.0,-8.390415,-34.923031
RICARDO BARBOSA,2023-11-27 13:47:32,258.9,0.2,-8.390831,-34.923415
RICARDO BARBOSA,2023-11-27 15:14:31,356.1,0.2,-8.390865,-34.923481
RICARDO BARBOSA,2023-11-27 15:35:26,37.5,1.4,-8.391348,-34.921565
RICARDO BARBOSA,2023-11-27 15:45:23,27.7,4.2,-8.380565,-34.916881
RICARDO BARBOSA,2023-11-27 15:47:36,322.3,3.6,-8.378298,-34.917081
RICARDO BARBOSA,2023-11-27 16:18:09,271.3,6.0,-8.383515,-34.937848
RICARDO BARBOSA,2023-11-27 16:20:43,271.1,5.3,-8.383165,-34.941465
RICARDO BARBOSA,2023-11-27 16:21:19,246.4,4.3,-8.383348,-34.942215
RICARDO BARBOSA,2023-11-27 16:27:29,208.3,3.1,-8.387898,-34.948115
RICARDO BARBOSA,2023-11-27 16:53:09,192.1,0.2,-8.393531,-34.949331
RICARDO BARBOSA,2023-11-27 17:35:31,204.5,0.0,-8.393531,-34.949315
RICARDO BARBOSA,2023-11-27 19:02:31,278.3,0.1,-8.393548,-34.949331
RICARDO BARBOSA,2023-11-27 20:05:31,293.6,0.1,-8.393531,-34.949315
RICARDO BARBOSA,2023-11-27 20:41:31,294.5,0.0,-8.393531,-34.949298
RICARDO BARBOSA,2023-11-27 22:08:31,308.6,0.1,-8.393481,-34.949348
RICARDO BARBOSA,2023-11-28 01:50:31,165.7,0.1,-8.393515,-34.949315
RICARDO BARBOSA,2023-11-28 02:26:30,274.5,0.2,-8.393481,-34.949315
RICARDO BARBOSA,2023-11-28 02:56:30,15.2,0.1,-8.393481,-34.949348
RICARDO BARBOSA,2023-11-28 03:35:31,88.7,0.2,-8.393515,-34.949348
RICARDO BARBOSA,2023-11-28 03:53:32,271.9,0.1,-8.393498,-34.949331
RICARDO BARBOSA,2023-11-28 03:56:30,72.4,0.2,-8.393515,-34.949331
RICARDO BARBOSA,2023-11-28 05:59:30,221.4,0.1,-8.393515,-34.949315
RICARDO BARBOSA,2023-11-28 09:14:29,59.2,0.1,-8.393515,-34.949348
RICARDO BARBOSA,2023-11-28 15:23:31,164.9,0.2,-8.393515,-34.949348
RICARDO BARBOSA,2023-11-28 16:02:31,61.1,0.1,-8.393515,-34.949348
RICARDO BARBOSA,2023-11-28 18:34:37,52.5,4.5,-8.390998,-34.950798
RICARDO BARBOSA,2023-11-28 18:38:59,25.1,5.0,-8.385765,-34.948015
