NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
RODRIGO PINHEIRO,2024-01-15 11:21:48,268.1,12.7,-34.259245,-47.592466
RODRIGO PINHEIRO,2024-01-15 11:33:27,268.5,12.7,-34.26002,-47.64236
RODRIGO PINHEIRO,2024-01-15 11:34:17,269.3,12.7,-34.260073,-47.64593
RODRIGO PINHEIRO,2024-01-15 11:38:19,266.8,12.7,-34.260411,-47.663048
RODRIGO PINHEIRO,2024-01-15 12:23:29,266.8,12.4,-34.265625,-47.853546
RODRIGO PINHEIRO,2024-01-15 12:53:48,268.1,12.4,-34.270585,-47.97982
RODRIGO PINHEIRO,2024-01-15 13:05:07,268.4,12.5,-34.272396,-48.027133
RODRIGO PINHEIRO,2024-01-15 13:05:17,268.5,12.5,-34.27242,-48.027831
RODRIGO PINHEIRO,2024-01-15 13:05:49,268.0,12.5,-34.272486,-48.030003
RODRIGO PINHEIRO,2024-01-15 13:11:00,267.1,12.6,-34.273263,-48.051795
RODRIGO PINHEIRO,2024-01-15 14:07:10,267.3,12.9,-34.280288,-48.292571
RODRIGO PINHEIRO,2024-01-15 14:51:29,265.8,13.2,-34.28872,-48.487265
RODRIGO PINHEIRO,2024-01-15 15:00:00,265.6,13.1,-34.290858,-48.524803
RODRIGO PINHEIRO,2024-01-15 15:39:50,266.6,12.5,-34.30014,-48.694503
RODRIGO PINHEIRO,2024-01-15 17:31:18,247.5,12.2,-34.383146,-49.14864
RODRIGO PINHEIRO,2024-01-15 18:20:10,251.7,12.8,-34.443475,-49.342898
RODRIGO PINHEIRO,2024-01-15 18:36:07,251.1,13.0,-34.461376,-49.40906
RODRIGO PINHEIRO,2024-01-15 18:37:07,251.3,13.0,-34.462533,-49.41322
RODRIGO PINHEIRO,2024-01-15 18:37:18,250.9,13.0,-34.462711,-49.413908
RODRIGO PINHEIRO,2024-01-15 18:39:27,253.9,13.0,-34.464853,-49.422935
RODRIGO PINHEIRO,2024-01-15 18:40:27,254.0,13.0,-34.46593,-49.42724
RODRIGO PINHEIRO,2024-01-15 18:40:46,253.1,13.0,-34.466261,-49.428568
RODRIGO PINHEIRO,2024-01-15 18:41:27,253.0,13.0,-34.466951,-49.431375
RODRIGO PINHEIRO,2024-01-15 18:41:56,254.9,13.0,-34.467458,-49.433495
