NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
ROMARIO SILVA,2023-11-25 22:00:23,113.5,0.1,-22.789931,-43.125931
ROMARIO SILVA,2023-11-26 01:57:23,213.3,0.0,-22.786981,-43.124765
ROMARIO SILVA,2023-11-27 02:48:23,92.3,0.1,-22.787081,-43.125165
ROMARIO SILVA,2023-11-27 18:24:22,208.2,0.0,-22.787015,-43.124698
ROMARIO SILVA,2023-11-28 07:00:23,253.6,0.3,-22.787365,-43.125981
ROMARIO SILVA,2023-11-28 17:18:24,205.3,0.1,-22.786915,-43.124865
ROMARIO SILVA,2023-11-28 18:22:37,225.3,5.3,-22.801415,-43.136565
ROMARIO SILVA,2023-11-28 18:36:53,164.9,2.8,-22.815331,-43.136865
ROMARIO SILVA,2023-11-29 16:40:09,58.8,0.1,-22.820981,-43.133215
ROMARIO SILVA,2023-11-29 23:49:12,170.6,0.1,-22.824248,-43.134765
ROMARIO SILVA,2023-11-30 06:43:12,186.4,0.2,-22.821165,-43.132431
ROMARIO SILVA,2023-11-30 17:58:11,152.1,0.1,-22.820731,-43.133081
ROMARIO SILVA,2023-11-30 18:22:12,194.5,0.1,-22.820731,-43.133131
ROMARIO SILVA,2023-11-30 20:06:55,195.3,0.6,-22.822015,-43.133215
ROMARIO SILVA,2023-12-04 13:45:06,126.3,4.1,-22.817215,-43.151698
ROMARIO SILVA,2023-12-04 14:45:35,159.2,9.4,-22.959765,-43.133015
ROMARIO SILVA,2023-12-04 15:20:57,157.7,7.4,-23.059348,-43.091615
ROMARIO SILVA,2023-12-04 15:37:15,168.3,2.9,-23.078815,-43.083631
ROMARIO SILVA,2023-12-04 16:12:29,221.1,13.0,-23.101431,-43.105765
ROMARIO SILVA,2023-12-04 16:26:39,239.1,13.8,-23.131815,-43.154215
ROMARIO SILVA,2023-12-04 16:26:58,241.2,14.2,-23.132431,-43.155281
ROMARIO SILVA,2023-12-04 16:27:04,236.0,14.1,-23.132615,-43.155665
ROMARIO SILVA,2023-12-04 16:27:57,234.1,14.3,-23.134448,-43.158931
ROMARIO SILVA,2023-12-04 16:28:15,236.9,14.0,-23.135048,-43.160031
ROMARIO SILVA,2023-12-04 16:28:18,234.1,13.9,-23.135115,-43.160148
ROMARIO SILVA,2023-12-04 16:28:28,234.1,14.0,-23.135448,-43.160748
ROMARIO SILVA,2023-12-04 16:28:48,236.9,14.3,-23.136098,-43.161965
ROMARIO SILVA,2023-12-04 16:29:22,238.0,14.0,-23.137231,-43.163998
ROMARIO SILVA,2023-12-04 16:37:14,236.1,14.4,-23.152698,-43.192665
ROMARIO SILVA,2023-12-04 16:40:37,241.1,14.2,-23.159331,-43.205248
ROMARIO SILVA,2023-12-04 16:43:47,241.7,14.4,-23.165531,-43.217198
ROMARIO SILVA,2023-12-04 17:51:35,243.8,14.6,-23.295148,-43.475415
ROMARIO SILVA,2023-12-04 18:01:16,242.8,14.6,-23.313065,-43.513381
ROMARIO SILVA,2023-12-04 18:01:32,241.9,14.5,-23.313565,-43.514431
ROMARIO SILVA,2023-12-04 18:02:52,242.0,14.6,-23.316048,-43.519681
ROMARIO SILVA,2023-12-04 18:03:48,244.8,14.8,-23.317781,-43.523365
ROMARIO SILVA,2023-12-04 18:06:03,239.9,14.8,-23.321981,-43.532298
ROMARIO SILVA,2023-12-04 18:08:43,242.0,14.6,-23.326948,-43.542781
ROMARIO SILVA,2023-12-04 18:19:21,245.9,14.8,-23.346098,-43.584665
ROMARIO SILVA,2023-12-04 18:26:51,244.0,14.8,-23.358515,-43.614715
ROMARIO SILVA,2023-12-04 18:31:03,248.8,14.6,-23.365481,-43.631698
ROMARIO SILVA,2023-12-04 18:56:24,242.2,14.8,-23.409515,-43.734631
ROMARIO SILVA,2023-12-04 19:32:28,245.0,14.9,-23.475415,-43.882181
ROMARIO SILVA,2023-12-04 19:44:54,244.1,15.3,-23.497898,-43.933048
ROMARIO SILVA,2023-12-04 19:49:10,241.8,15.2,-23.505615,-43.950481
ROMARIO SILVA,2023-12-04 20:08:17,244.0,15.2,-23.539815,-44.028865
ROMARIO SILVA,2023-12-04 20:32:53,244.9,15.3,-23.583448,-44.129631
ROMARIO SILVA,2023-12-04 20:36:00,241.9,15.2,-23.589165,-44.142631
ROMARIO SILVA,2023-12-04 20:39:40,248.8,15.3,-23.595398,-44.158098
ROMARIO SILVA,2023-12-04 20:41:08,244.0,15.2,-23.597931,-44.164298
ROMARIO SILVA,2023-12-04 20:43:40,245.1,15.4,-23.602298,-44.175048
ROMARIO SILVA,2023-12-04 21:14:13,250.0,14.7,-23.654531,-44.302498
ROMARIO SILVA,2023-12-04 21:16:18,245.8,15.1,-23.658015,-44.311031
ROMARIO SILVA,2023-12-04 21:33:14,245.9,14.9,-23.686681,-44.380531
ROMARIO SILVA,2023-12-04 21:55:07,246.8,14.7,-23.723898,-44.469531
ROMARIO SILVA,2023-12-04 22:23:05,239.1,14.6,-23.769981,-44.580798
ROMARIO SILVA,2023-12-04 22:30:11,242.8,14.6,-23.783481,-44.607831
ROMARIO SILVA,2023-12-04 23:00:57,245.9,14.5,-23.831765,-44.730048
ROMARIO SILVA,2023-12-04 23:03:29,247.0,14.5,-23.835881,-44.740165
ROMARIO SILVA,2023-12-04 23:16:48,247.9,14.3,-23.857198,-44.793631
ROMARIO SILVA,2023-12-04 23:31:15,244.1,14.8,-23.880581,-44.851965
ROMARIO SILVA,2023-12-05 00:05:29,248.1,14.3,-23.935581,-44.990881
ROMARIO SILVA,2023-12-05 00:05:46,243.9,14.4,-23.936015,-44.991948
ROMARIO SILVA,2023-12-05 00:08:42,246.8,14.3,-23.940765,-45.003731
ROMARIO SILVA,2023-12-05 00:46:19,241.0,14.2,-24.006581,-45.150515
ROMARIO SILVA,2023-12-05 01:01:07,246.7,13.7,-24.032548,-45.206431
ROMARIO SILVA,2023-12-05 01:05:32,251.8,13.8,-24.039631,-45.223131
ROMARIO SILVA,2023-12-05 01:05:40,251.2,13.8,-24.039815,-45.223648
ROMARIO SILVA,2023-12-05 01:05:46,247.0,14.0,-24.039981,-45.224115
ROMARIO SILVA,2023-12-05 01:06:04,253.8,14.0,-24.040381,-45.225298
ROMARIO SILVA,2023-12-05 01:06:12,250.9,13.8,-24.040548,-45.225748
ROMARIO SILVA,2023-12-05 01:27:46,288.1,14.2,-24.031148,-45.314431
