NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
VICTOR OLIVEIRA,2023-12-17 22:47:50,208.4,14.2,-2.952811,-31.388253
VICTOR OLIVEIRA,2023-12-17 22:50:02,209.8,14.2,-2.960483,-31.392633
VICTOR OLIVEIRA,2023-12-17 23:29:24,212.7,14.0,-3.093678,-31.472618
VICTOR OLIVEIRA,2023-12-17 23:30:24,211.2,14.3,-3.097293,-31.474895
VICTOR OLIVEIRA,2023-12-17 23:34:25,211.9,14.0,-3.11031,-31.48312
VICTOR OLIVEIRA,2023-12-17 23:38:13,210.8,14.1,-3.122821,-31.490975
VICTOR OLIVEIRA,2023-12-17 23:38:24,210.2,14.0,-3.123486,-31.491388
VICTOR OLIVEIRA,2023-12-17 23:39:01,213.0,14.0,-3.125521,-31.492688
VICTOR OLIVEIRA,2023-12-17 23:40:07,211.5,14.0,-3.12914,-31.494951
VICTOR OLIVEIRA,2023-12-17 23:40:37,214.6,14.0,-3.130871,-31.496051
VICTOR OLIVEIRA,2023-12-17 23:40:43,210.2,14.2,-3.131196,-31.496258
VICTOR OLIVEIRA,2023-12-17 23:41:24,212.2,13.9,-3.13345,-31.497681
VICTOR OLIVEIRA,2023-12-17 23:42:07,213.7,14.0,-3.135858,-31.499255
VICTOR OLIVEIRA,2023-12-18 00:05:02,213.0,14.3,-3.211708,-31.548915
VICTOR OLIVEIRA,2023-12-18 00:28:48,214.5,14.3,-3.291051,-31.60146
VICTOR OLIVEIRA,2023-12-18 00:30:55,213.7,14.3,-3.298113,-31.606123
VICTOR OLIVEIRA,2023-12-18 00:33:01,211.5,14.4,-3.305213,-31.610818
VICTOR OLIVEIRA,2023-12-18 00:35:19,214.0,14.3,-3.31284,-31.615896
VICTOR OLIVEIRA,2023-12-18 00:37:13,213.1,14.2,-3.3191,-31.620098
VICTOR OLIVEIRA,2023-12-18 00:37:37,213.4,14.3,-3.320491,-31.621023
VICTOR OLIVEIRA,2023-12-18 00:39:43,213.6,14.2,-3.327496,-31.625625
VICTOR OLIVEIRA,2023-12-18 00:39:44,213.6,14.2,-3.327496,-31.625625
VICTOR OLIVEIRA,2023-12-18 00:41:50,214.1,14.3,-3.33444,-31.630298
VICTOR OLIVEIRA,2023-12-18 01:06:48,213.9,14.4,-3.417901,-31.685785
VICTOR OLIVEIRA,2023-12-18 01:08:31,214.4,14.4,-3.42361,-31.68964
VICTOR OLIVEIRA,2023-12-18 01:08:42,215.3,14.4,-3.424221,-31.690053
VICTOR OLIVEIRA,2023-12-18 01:15:43,210.1,14.3,-3.448063,-31.705103
VICTOR OLIVEIRA,2023-12-18 01:18:25,209.1,14.5,-3.457408,-31.710738
VICTOR OLIVEIRA,2023-12-18 01:20:36,209.6,14.3,-3.46492,-31.715221
VICTOR OLIVEIRA,2023-12-18 01:21:55,214.5,14.3,-3.4694,-31.717886
VICTOR OLIVEIRA,2023-12-18 01:24:24,213.4,14.1,-3.477898,-31.723013
VICTOR OLIVEIRA,2023-12-18 01:26:55,210.8,14.1,-3.486478,-31.728168
VICTOR OLIVEIRA,2023-12-18 01:42:55,211.1,14.2,-3.541253,-31.760716
VICTOR OLIVEIRA,2023-12-18 01:48:26,209.0,14.2,-3.560148,-31.771926
VICTOR OLIVEIRA,2023-12-18 01:53:37,211.9,14.2,-3.57788,-31.782488
VICTOR OLIVEIRA,2023-12-18 02:11:55,208.6,14.2,-3.640513,-31.819531
VICTOR OLIVEIRA,2023-12-18 02:14:43,209.6,14.1,-3.650068,-31.82508
VICTOR OLIVEIRA,2023-12-18 02:17:19,210.2,14.1,-3.658968,-31.830328
VICTOR OLIVEIRA,2023-12-18 02:18:01,209.6,14.1,-3.661358,-31.831738
VICTOR OLIVEIRA,2023-12-18 02:19:32,210.3,14.2,-3.666491,-31.834698
VICTOR OLIVEIRA,2023-12-18 02:20:31,211.4,14.1,-3.669966,-31.836735
VICTOR OLIVEIRA,2023-12-18 02:22:32,210.2,14.2,-3.676778,-31.840786
